date,country,category,rim_diameter,sales
2018-12-01,7c099db665,d974f028af,28,0.0
2018-12-01,7c099db665,de5a6f7811,13,92.0
2018-12-01,7c099db665,de5a6f7811,14,55.0
2018-12-01,7c099db665,de5a6f7811,15,27901.0
2018-12-01,7c099db665,de5a6f7811,16,299261.0
2018-12-01,7c099db665,de5a6f7811,17,971767.0
2018-12-01,7c099db665,de5a6f7811,18,403493.0
2018-12-01,7c099db665,de5a6f7811,19,102351.0
2018-12-01,7c099db665,de5a6f7811,20,38691.0
2018-12-01,7c099db665,de5a6f7811,21,600.0
2018-12-01,7c099db665,de5a6f7811,22,0.0
2018-12-01,7c099db665,a7e721a9ec,13,181.0
2018-12-01,7c099db665,a7e721a9ec,14,3458.0
2018-12-01,7c099db665,a7e721a9ec,15,24978.0
2018-12-01,7c099db665,a7e721a9ec,16,57931.0
2018-12-01,7c099db665,a7e721a9ec,17,70849.0
2018-12-01,7c099db665,a7e721a9ec,18,62872.0
2018-12-01,7c099db665,a7e721a9ec,19,12312.0
2018-12-01,7c099db665,a7e721a9ec,20,12031.0
2018-12-01,7c099db665,a7e721a9ec,21,665.0
2018-12-01,7c099db665,a7e721a9ec,22,2618.0
2018-12-01,7c099db665,a7e721a9ec,23,0.0
2018-12-01,7c099db665,bbeebd879e,13,0.0
2018-12-01,7c099db665,bbeebd879e,14,0.0
2018-12-01,7c099db665,bbeebd879e,15,2187.0
2018-12-01,7c099db665,bbeebd879e,16,44210.0
2018-12-01,7c099db665,bbeebd879e,17,482550.0
2018-12-01,7c099db665,bbeebd879e,18,479781.0
2018-12-01,7c099db665,bbeebd879e,19,205494.0
2018-12-01,7c099db665,bbeebd879e,20,138311.0
2018-12-01,7c099db665,bbeebd879e,21,11444.0
2018-12-01,7c099db665,bbeebd879e,22,5376.0
2018-12-01,7c099db665,bbeebd879e,23,0.0
2018-12-01,7c099db665,bbeebd879e,24,193.0
2019-01-01,010885e44f,00c2ae96f6,13,0.0
2019-01-01,010885e44f,00c2ae96f6,14,79.0
2019-01-01,010885e44f,00c2ae96f6,15,505.0
2019-01-01,010885e44f,00c2ae96f6,16,48245.0
2019-01-01,010885e44f,00c2ae96f6,17,42796.0
2019-01-01,010885e44f,00c2ae96f6,18,26154.0
2019-01-01,010885e44f,00c2ae96f6,19,153.0
2019-01-01,010885e44f,00c2ae96f6,20,28566.0
2019-01-01,010885e44f,00c2ae96f6,22,317.0
2019-01-01,010885e44f,00c2ae96f6,24,33.0
2019-01-01,010885e44f,badf24e062,12,88.0
2019-01-01,010885e44f,badf24e062,13,1121.0
2019-01-01,010885e44f,badf24e062,14,16873.0
2019-01-01,010885e44f,badf24e062,15,51075.0
2019-01-01,010885e44f,badf24e062,16,64602.0
2019-01-01,010885e44f,badf24e062,17,25751.0
2019-01-01,010885e44f,badf24e062,18,5123.0
2019-01-01,010885e44f,badf24e062,19,372.0
2019-01-01,010885e44f,badf24e062,20,318.0
2019-01-01,010885e44f,44bd7ae60f,14,2944.0
2019-01-01,010885e44f,44bd7ae60f,15,47663.0
2019-01-01,010885e44f,44bd7ae60f,16,93523.0
2019-01-01,010885e44f,44bd7ae60f,17,46084.0
2019-01-01,010885e44f,44bd7ae60f,18,21531.0
2019-01-01,010885e44f,44bd7ae60f,19,5543.0
2019-01-01,010885e44f,44bd7ae60f,20,2096.0
2019-01-01,010885e44f,44bd7ae60f,21,15.0
2019-01-01,010885e44f,44bd7ae60f,22,0.0
2019-01-01,010885e44f,d974f028af,14,472.0
2019-01-01,010885e44f,d974f028af,15,16978.0
2019-01-01,010885e44f,d974f028af,16,65171.0
2019-01-01,010885e44f,d974f028af,17,192428.0
2019-01-01,010885e44f,d974f028af,18,97139.0
2019-01-01,010885e44f,d974f028af,19,36054.0
2019-01-01,010885e44f,d974f028af,20,78576.0
2019-01-01,010885e44f,d974f028af,21,4588.0
2019-01-01,010885e44f,d974f028af,22,10222.0
2019-01-01,010885e44f,d974f028af,23,8.0
2019-01-01,010885e44f,d974f028af,24,174.0
2019-01-01,010885e44f,d974f028af,26,0.0
2019-01-01,010885e44f,d974f028af,28,0.0
2019-01-01,010885e44f,de5a6f7811,13,0.0
2019-01-01,010885e44f,de5a6f7811,14,0.0
2019-01-01,010885e44f,de5a6f7811,15,4079.0
2019-01-01,010885e44f,de5a6f7811,16,21532.0
2019-01-01,010885e44f,de5a6f7811,17,51944.0
2019-01-01,010885e44f,de5a6f7811,18,28630.0
2019-01-01,010885e44f,de5a6f7811,19,6472.0
2019-01-01,010885e44f,de5a6f7811,20,3142.0
2019-01-01,010885e44f,de5a6f7811,21,17.0
2019-01-01,010885e44f,de5a6f7811,22,0.0
2019-01-01,010885e44f,de5a6f7811,24,49.0
2019-01-01,010885e44f,de5a6f7811,26,0.0
2019-01-01,010885e44f,a7e721a9ec,13,37.0
2019-01-01,010885e44f,a7e721a9ec,14,954.0
2019-01-01,010885e44f,a7e721a9ec,15,3776.0
2019-01-01,010885e44f,a7e721a9ec,16,12495.0
2019-01-01,010885e44f,a7e721a9ec,17,17316.0
2019-01-01,010885e44f,a7e721a9ec,18,9625.0
2019-01-01,010885e44f,a7e721a9ec,19,3972.0
2019-01-01,010885e44f,a7e721a9ec,20,3554.0
2019-01-01,010885e44f,a7e721a9ec,21,354.0
2019-01-01,010885e44f,a7e721a9ec,22,764.0
2019-01-01,010885e44f,a7e721a9ec,23,0.0
2019-01-01,010885e44f,bbeebd879e,14,0.0
2019-01-01,010885e44f,bbeebd879e,15,204.0
2019-01-01,010885e44f,bbeebd879e,16,4382.0
2019-01-01,010885e44f,bbeebd879e,17,32197.0
2019-01-01,010885e44f,bbeebd879e,18,47411.0
2019-01-01,010885e44f,bbeebd879e,19,26018.0
2019-01-01,010885e44f,bbeebd879e,20,13343.0
2019-01-01,010885e44f,bbeebd879e,21,1282.0
2019-01-01,010885e44f,bbeebd879e,22,476.0
2019-01-01,010885e44f,bbeebd879e,23,0.0
2019-01-01,010885e44f,bbeebd879e,24,21.0
2019-01-01,7c099db665,00c2ae96f6,12,0.0
2019-01-01,7c099db665,00c2ae96f6,13,92.0
2019-01-01,7c099db665,00c2ae96f6,14,1574.0
2019-01-01,7c099db665,00c2ae96f6,15,4621.0
2019-01-01,7c099db665,00c2ae96f6,16,549533.0
2019-01-01,7c099db665,00c2ae96f6,17,282118.0
2019-01-01,7c099db665,00c2ae96f6,18,130872.0
2019-01-01,7c099db665,00c2ae96f6,19,745.0
2019-01-01,7c099db665,00c2ae96f6,20,152708.0
2019-01-01,7c099db665,00c2ae96f6,22,3989.0
2019-01-01,7c099db665,00c2ae96f6,24,279.0
2019-01-01,7c099db665,badf24e062,12,201.0
2019-01-01,7c099db665,badf24e062,13,12913.0
2019-01-01,7c099db665,badf24e062,14,204088.0
2019-01-01,7c099db665,badf24e062,15,495087.0
2019-01-01,7c099db665,badf24e062,16,671641.0
2019-01-01,7c099db665,badf24e062,17,261767.0
2019-01-01,7c099db665,badf24e062,18,33514.0
2019-01-01,7c099db665,badf24e062,19,3256.0
2019-01-01,7c099db665,badf24e062,20,1598.0
2019-01-01,7c099db665,44bd7ae60f,10,0.0
2019-01-01,7c099db665,44bd7ae60f,13,4.0
2019-01-01,7c099db665,44bd7ae60f,14,64558.0
2019-01-01,7c099db665,44bd7ae60f,15,757552.0
2019-01-01,7c099db665,44bd7ae60f,16,1177177.0
2019-01-01,7c099db665,44bd7ae60f,17,466562.0
2019-01-01,7c099db665,44bd7ae60f,18,270097.0
2019-01-01,7c099db665,44bd7ae60f,19,35582.0
2019-01-01,7c099db665,44bd7ae60f,20,24596.0
2019-01-01,7c099db665,44bd7ae60f,21,90.0
2019-01-01,7c099db665,44bd7ae60f,22,0.0
2019-01-01,7c099db665,d974f028af,12,0.0
2019-01-01,7c099db665,d974f028af,14,33449.0
2019-01-01,7c099db665,d974f028af,15,379484.0
2019-01-01,7c099db665,d974f028af,16,1052349.0
2019-01-01,7c099db665,d974f028af,17,2131997.0
2019-01-01,7c099db665,d974f028af,18,1470802.0
2019-01-01,7c099db665,d974f028af,19,388121.0
2019-01-01,7c099db665,d974f028af,20,1078845.0
2019-01-01,7c099db665,d974f028af,21,23736.0
2019-01-01,7c099db665,d974f028af,22,157802.0
2019-01-01,7c099db665,d974f028af,23,431.0
2019-01-01,7c099db665,d974f028af,24,6594.0
2019-01-01,7c099db665,d974f028af,26,148.0
2019-01-01,7c099db665,d974f028af,28,0.0
2019-01-01,7c099db665,de5a6f7811,13,146.0
2019-01-01,7c099db665,de5a6f7811,14,43.0
2019-01-01,7c099db665,de5a6f7811,15,33966.0
